GVA	GVA	airport	Geneva	46.238056	6.108889	Geneva	GVA	Switzerland	CH	Europe/Paris
HAN	HAN	airport	Noi Bai International	21.221111	105.807222	Hanoi	HAN	Vietnam	VN	Asia/Saigon
HGH	HGH	airport	Hangzhou Xiaoshan International	30.229444	120.434444	Hangzhou	HGH	China	CN	Asia/Shanghai
HEL	HEL	airport	Helsinki	60.317222	24.963333	Helsinki	HEL	Finland	FI	Europe/Helsinki
HNL	HNL	airport	Daniel K. Inouye International	21.327778	-157.92222	Honolulu	HNL	United States	US	Pacific/Honolulu
MCO	MCO	airport	Orlando International	28.429444	-81.308889	Orlando	ORL	United States	US	America/New_York
MFM	MFM	airport	Macau International	22.149444	113.591667	Macao	MFM	Macau	MO	Asia/Macau
OPO	OPO	airport	Porto	41.235556	-8.678056	Porto	OPO	Portugal	PT	Europe/Lisbon
OSL	OSL	airport	Oslo Airport, Gardermoen	60.193889	11.100278	Oslo	OSL	Norway	NO	Europe/Oslo
PHL	PHL	airport	Philadelphia International	39.871944	-75.241111	Philadelphia	PHL	United States	US	America/New_York
VCE	VCE	airport	Venice Marco Polo	45.505278	12.351944	Venice	VCE	Italy	IT	Europe/Rome
SIP	SIP	airport	Simferopol International	45.052222	33.973889	Simferopol	SIP	Unknown Region	ZZ	Europe/Simferopol
SOF	SOF	airport	Sofia	42.695278	23.406111	Sofia	SOF	Bulgaria	BG	Europe/Sofia
SVX	SVX	airport	Koltsovo	56.743056	60.802778	Yekaterinburg	SVX	Russia	RU	Asia/Yekaterinburg
MSP	MSP	airport	Minneapolis–Saint Paul International	44.881944	-93.221667	Minneapolis	MSP	United States	US	America/Chicago
PHX	PHX	airport	Phoenix Sky Harbor International	33.434167	-112.01167	Phoenix	PHX	United States	US	America/Phoenix
MXP	MXP	airport	Milan–Malpensa	45.63	8.723056	Milan	MIL	Italy	IT	Europe/Rome
